comment,cleaned_comments,Tagged
سلام کفش سبکی هستش ولی از جنس پلاستیک خوبی ساخته نشده و بوی بسیار بدی میده نمیدونم چرا پشت پای منو میزنه خیلی راحت نیست در کل اگر از نزدیک میدیم اصلا نمی خریدمش,سلام کفش سبکی هستش ولی از جنس پلاستیک خوبی ساخته نشده و بوی بسیار بدی میده نمیدونم چرا پشت پای منو میزنه خیلی راحت نیست در کل اگر از نزدیک میدیم اصلا نمی‌خریدمش,"[('سلام', 'NOUN,EZ'), ('کفش', 'NOUN,EZ'), ('سبکی', 'ADJ'), ('هستش', 'VERB'), ('ولی', 'CCONJ'), ('از', 'ADP'), ('جنس', 'NOUN,EZ'), ('پلاستیک', 'NOUN,EZ'), ('خوبی', 'ADJ'), ('ساخته', 'VERB'), ('نشده', 'VERB'), ('و', 'CCONJ'), ('بوی', 'NOUN,EZ'), ('بسیار', 'ADV'), ('بدی', 'ADJ'), ('میده', 'VERB'), ('نمیدونم', 'VERB'), ('چرا', 'ADV'), ('پشت', 'ADP,EZ'), ('پای', 'NOUN,EZ'), ('منو', 'PRON'), ('میزنه', 'VERB'), ('خیلی', 'ADV'), ('راحت', 'ADJ'), ('نیست', 'VERB'), ('در', 'ADP'), ('کل', 'NOUN'), ('اگر', 'SCONJ'), ('از', 'ADP'), ('نزدیک', 'NOUN'), ('میدیم', 'VERB'), ('اصلا', 'ADV'), ('نمی\u200cخریدمش', 'VERB')]"
"به عنوان یه منتقد بیطرف میگم
انصافا با این قیمت بالا، امکانات متوسطی داره","به عنوان یه منتقد بیطرف میگم
انصافا با این قیمت بالا امکانات متوسطی داره","[('به', 'ADP'), ('عنوان', 'NOUN,EZ'), ('یه', 'NUM'), ('منتقد', 'NOUN,EZ'), ('بیطرف', 'ADJ'), ('میگم', 'VERB'), ('انصافا', 'ADV'), ('با', 'ADP'), ('این', 'DET'), ('قیمت', 'NOUN'), ('بالا', 'ADV'), ('امکانات', 'NOUN,EZ'), ('متوسطی', 'ADJ'), ('داره', 'VERB')]"
برای من بعد از یک ماه دیگه کامل شارژ نمی شه و 10 ساعت طول می کشه نصف بشه شارژش,برای من‌بعد از یک ماه دیگه کامل شارژ نمی‌شه و ۱۰ ساعت طول می‌کشه نصف بشه شارژش,"[('برای', 'ADP,EZ'), ('من\u200cبعد', 'ADV'), ('از', 'ADP'), ('یک', 'NUM'), ('ماه', 'NOUN'), ('دیگه', 'ADV'), ('کامل', 'ADJ,EZ'), ('شارژ', 'NOUN'), ('نمی\u200cشه', 'VERB'), ('و', 'CCONJ'), ('۱۰', 'NUM'), ('ساعت', 'NOUN,EZ'), ('طول', 'NOUN'), ('می\u200cکشه', 'VERB'), ('نصف', 'NUM'), ('بشه', 'VERB'), ('شارژش', 'NOUN')]"
خیلی واقعا ناراضیم با اینکه خیلیا گفتن چقدر کیبوردت خوشگله. وقتی بهش عادت میکنی کیبوردای دیگه رو نمیتونی راحت کار کنی و برعکس. چند تا از کلیدای کیبوردم هم خراب شده بعد یکسال و نیم. خراب به این معنی که کج شده زیرش و فکر کنم یه چیزاییش شکسته.,خیلی واقعا ناراضیم با اینکه خیلیا گفتن چقدر کیبوردت خوشگله وقتی بهش عادت می‌کنی کیبوردای دیگه رو نمیتونی راحت کار کنی و برعکس چند تا از کلیدای کیبوردم هم خراب‌شده بعد یکسال و نیم خراب به این معنی که کج شده زیرش و فکر کنم یه چیزاییش شکسته,"[('خیلی', 'ADV'), ('واقعا', 'ADV'), ('ناراضیم', 'VERB'), ('با', 'ADP'), ('اینکه', 'CCONJ'), ('خیلیا', 'NOUN'), ('گفتن', 'NOUN'), ('چقدر', 'ADV'), ('کیبوردت', 'NOUN'), ('خوشگله', 'VERB'), ('وقتی', 'SCONJ'), ('بهش', 'ADP'), ('عادت', 'NOUN'), ('می\u200cکنی', 'VERB'), ('کیبوردای', 'NOUN,EZ'), ('دیگه', 'PRON'), ('رو', 'ADP'), ('نمیتونی', 'VERB'), ('راحت', 'ADV'), ('کار', 'NOUN'), ('کنی', 'VERB'), ('و', 'CCONJ'), ('برعکس', 'ADV'), ('چند', 'DET'), ('تا', 'ADP'), ('از', 'ADP'), ('کلیدای', 'NOUN,EZ'), ('کیبوردم', 'NOUN'), ('هم', 'CCONJ'), ('خراب\u200cشده', 'ADJ'), ('بعد', 'CCONJ'), ('یکسال', 'ADV'), ('و', 'CCONJ'), ('نیم', 'NUM'), ('خراب', 'ADJ'), ('به', 'ADP'), ('این', 'DET'), ('معنی', 'NOUN'), ('که', 'SCONJ'), ('کج', 'ADJ'), ('شده', 'VERB'), ('زیرش', 'NOUN'), ('و', 'CCONJ'), ('فکر', 'NOUN'), ('کنم', 'VERB'), ('یه', 'NUM'), ('چیزاییش', 'NOUN'), ('شکسته', 'VERB')]"
خیلی با کیفیت و باحاله البته اگر به مرور زمان زرد نشه,خیلی با کیفیت و باحاله البته اگر به مرور زمان زرد نشه,"[('خیلی', 'ADV'), ('با', 'ADP'), ('کیفیت', 'NOUN'), ('و', 'CCONJ'), ('باحاله', 'ADJ'), ('البته', 'ADV'), ('اگر', 'SCONJ'), ('به', 'ADP'), ('مرور', 'NOUN,EZ'), ('زمان', 'NOUN,EZ'), ('زرد', 'ADJ'), ('نشه', 'VERB')]"
دم بر و بچ ایرانی گرم که چنین وسیله ای رو ساختن ، برای مورچه گرفتم 2 هفته دارم استفاده میکنم خیلی کمتر شدن مورچه ها,دم بر و بچ ایرانی گرم که چنین وسیله‌ای رو ساختن برای مورچه گرفتم ۲ هفته دارم استفاده می‌کنم خیلی کمتر شدن مورچه‌ها,"[('دم', 'ADP,EZ'), ('بر', 'NOUN'), ('و', 'CCONJ'), ('بچ', 'NOUN,EZ'), ('ایرانی', 'ADJ'), ('گرم', 'ADJ'), ('که', 'SCONJ'), ('چنین', 'NOUN'), ('وسیله\u200cای', 'NOUN'), ('رو', 'ADP'), ('ساختن', 'NOUN'), ('برای', 'ADP,EZ'), ('مورچه', 'NOUN'), ('گرفتم', 'VERB'), ('۲', 'NUM'), ('هفته', 'NOUN'), ('دارم', 'VERB'), ('استفاده', 'NOUN'), ('می\u200cکنم', 'VERB'), ('خیلی', 'ADV'), ('کمتر', 'ADJ'), ('شدن', 'NOUN,EZ'), ('مورچه\u200cها', 'NOUN')]"
"باسلام 
به نظر من برای پوست های چرب مناسب است ولی صورت من که پوستی خشک دارم باعث جوش شد","باسلام
به نظر من برای پوست‌های چرب مناسب است ولی صورت من که پوستی خشک دارم باعث جوش شد","[('باسلام', 'NOUN'), ('به', 'ADP'), ('نظر', 'NOUN,EZ'), ('من', 'PRON'), ('برای', 'ADP,EZ'), ('پوست\u200cهای', 'NOUN,EZ'), ('چرب', 'ADJ,EZ'), ('مناسب', 'ADJ'), ('است', 'VERB'), ('ولی', 'CCONJ'), ('صورت', 'NOUN,EZ'), ('من', 'PRON'), ('که', 'SCONJ'), ('پوستی', 'NOUN'), ('خشک', 'ADJ'), ('دارم', 'VERB'), ('باعث', 'ADJ,EZ'), ('جوش', 'NOUN'), ('شد', 'VERB')]"
در پیشنهاد ویژه ارزش خرید داره.در هر اشپزخانه ای ، این سه سایز ماهی تابه لازم هست .از نظر جنس و کیفیت خوب هست.از نظر نگهداری مثل ظروف تفلون و.....میباشد.,در پیشنهاد ویژه ارزش خرید داره در هر اشپزخانه‌ای این سه سایز ماهی‌تابه لازم هست از نظر جنس و کیفیت خوب هست از نظر نگهداری مثل ظروف تفلون و … می‌باشد,"[('در', 'ADP'), ('پیشنهاد', 'NOUN,EZ'), ('ویژه', 'ADJ,EZ'), ('ارزش', 'NOUN,EZ'), ('خرید', 'NOUN'), ('داره', 'VERB'), ('در', 'ADP'), ('هر', 'DET'), ('اشپزخانه\u200cای', 'NOUN'), ('این', 'DET'), ('سه', 'NUM'), ('سایز', 'NOUN,EZ'), ('ماهی\u200cتابه', 'NOUN'), ('لازم', 'ADJ'), ('هست', 'VERB'), ('از', 'ADP'), ('نظر', 'NOUN,EZ'), ('جنس', 'NOUN'), ('و', 'CCONJ'), ('کیفیت', 'NOUN,EZ'), ('خوب', 'ADJ'), ('هست', 'VERB'), ('از', 'ADP'), ('نظر', 'NOUN,EZ'), ('نگهداری', 'NOUN'), ('مثل', 'ADV,EZ'), ('ظروف', 'NOUN,EZ'), ('تفلون', 'NOUN'), ('و', 'CCONJ'), ('…', 'PUNCT'), ('می\u200cباشد', 'VERB')]"
اصلا پیشنهاد نمی دهم چون خیلی بی کیفیت است,اصلا پیشنهاد نمی‌دهم چون خیلی بی‌کیفیت است,"[('اصلا', 'ADV'), ('پیشنهاد', 'NOUN'), ('نمی\u200cدهم', 'VERB'), ('چون', 'SCONJ'), ('خیلی', 'ADV'), ('بی\u200cکیفیت', 'ADJ'), ('است', 'VERB')]"
خیلی عالیه حتما بگیرید,خیلی عالیه حتما بگیرید,"[('خیلی', 'ADV'), ('عالیه', 'ADJ'), ('حتما', 'ADV'), ('بگیرید', 'VERB')]"
"قبل از خرید حتما گوشی رو مغازه ببینید
واقعا از اینکه نمی تونه به خوبی فیلمهای فول اچ دی رو نشون بده نا امید شدم
بجای نوتیفیکیشن قابلیت always on داره که پیغامها رو نشون می ده
رنگ ها رو خوب نشون نمی ده گوشی قبلی من LG g3 beat بود و کیفیت صفحه نمایش اون کجا و این کجا","قبل از خرید حتما گوشی رو مغازه ببینید
واقعا از اینکه نمی‌تونه به خوبی فیلمهای فول اچ دی رو نشون بده نا امید شدم
بجای نوتیفیکیشن قابلیت always on داره که پیغامها رو نشون می‌ده
رنگ‌ها رو خوب نشون نمی‌ده گوشی قبلی من LG g ۳ beat بود و کیفیت صفحه نمایش اون کجا و این کجا","[('قبل', 'ADP'), ('از', 'ADP'), ('خرید', 'NOUN'), ('حتما', 'ADV'), ('گوشی', 'NOUN,EZ'), ('رو', 'NOUN'), ('مغازه', 'NOUN'), ('ببینید', 'VERB'), ('واقعا', 'ADV'), ('از', 'ADP'), ('اینکه', 'CCONJ'), ('نمی\u200cتونه', 'VERB'), ('به', 'ADP'), ('خوبی', 'NOUN,EZ'), ('فیلمهای', 'NOUN,EZ'), ('فول', 'ADJ,EZ'), ('اچ', 'NOUN'), ('دی', 'NOUN'), ('رو', 'ADP'), ('نشون', 'NOUN'), ('بده', 'VERB'), ('نا', 'NOUN'), ('امید', 'NOUN'), ('شدم', 'VERB'), ('بجای', 'NOUN,EZ'), ('نوتیفیکیشن', 'NOUN'), ('قابلیت', 'NOUN,EZ'), ('always', 'NOUN'), ('on', 'NOUN'), ('داره', 'VERB'), ('که', 'SCONJ'), ('پیغامها', 'NOUN'), ('رو', 'NOUN'), ('نشون', 'NOUN'), ('می\u200cده', 'VERB'), ('رنگ\u200cها', 'NOUN'), ('رو', 'ADP'), ('خوب', 'ADJ,EZ'), ('نشون', 'NOUN'), ('نمی\u200cده', 'VERB'), ('گوشی', 'NOUN,EZ'), ('قبلی', 'ADJ,EZ'), ('من', 'PRON'), ('LG', 'NOUN'), ('g', 'NOUN'), ('۳', 'NUM'), ('beat', 'NOUN'), ('بود', 'VERB'), ('و', 'CCONJ'), ('کیفیت', 'NOUN,EZ'), ('صفحه', 'NOUN,EZ'), ('نمایش', 'NOUN,EZ'), ('اون', 'PRON'), ('کجا', 'ADV'), ('و', 'CCONJ'), ('این', 'PRON'), ('کجا', 'ADV')]"
من الان دیماه دارم عاااللییه زیبایی بسیار شگفت انگیز من طلایی رو دارم فست شارژ تنها مشکل دوربینش 12 mp هست,من الان دیماه دارم عااللییه زیبایی بسیار شگفت‌انگیز من طلایی رو دارم فست شارژ تنها مشکل دوربینش ۱۲ mp هست,"[('من', 'PRON'), ('الان', 'ADV'), ('دیماه', 'NOUN'), ('دارم', 'VERB'), ('عااللییه', 'NOUN'), ('زیبایی', 'NOUN,EZ'), ('بسیار', 'ADV'), ('شگفت\u200cانگیز', 'ADJ,EZ'), ('من', 'PRON'), ('طلایی', 'ADJ'), ('رو', 'ADP'), ('دارم', 'VERB'), ('فست', 'NOUN,EZ'), ('شارژ', 'ADJ'), ('تنها', 'ADV'), ('مشکل', 'NOUN,EZ'), ('دوربینش', 'NOUN'), ('۱۲', 'NUM'), ('mp', 'NOUN'), ('هست', 'VERB')]"
درپیشنهاد ویژه خریدم.راضی هستم.بسیار کاربردی و از نظر جنس و کیفیت ساخت بسیار خوب میباشد.,درپیشنهاد ویژه خریدم راضی هستم بسیار کاربردی و از نظر جنس و کیفیت ساخت بسیار خوب می‌باشد,"[('درپیشنهاد', 'NOUN,EZ'), ('ویژه', 'ADJ'), ('خریدم', 'VERB'), ('راضی', 'ADJ'), ('هستم', 'VERB'), ('بسیار', 'ADV'), ('کاربردی', 'ADJ'), ('و', 'CCONJ'), ('از', 'ADP'), ('نظر', 'NOUN,EZ'), ('جنس', 'NOUN'), ('و', 'CCONJ'), ('کیفیت', 'NOUN,EZ'), ('ساخت', 'NOUN,EZ'), ('بسیار', 'ADV'), ('خوب', 'ADJ'), ('می\u200cباشد', 'VERB')]"
